trial,regime,stage,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
20,crutch,bo,40.0,60.0,55.39235236261567,12.0,3.918085032189781,708.0863191737833,0.002601252255108286,0.9869308264155571
21,crutch,bo,40.0,60.0,80.0,10.844215657428121,3.95617285720957,736.2418790597786,0.0023081224766466463,0.9593159689935142
22,crutch,bo,40.0,60.0,51.530848854842844,12.0,3.073486147021066,708.3263959231808,0.0021306833608434,0.9918352671092641
23,crutch,bo,40.0,66.32061493194487,80.0,12.0,3.9561329179849603,736.980073161455,0.0018811426499221484,0.9467519910603139
24,crutch,bo,25.0,60.0,58.21943153778586,12.0,3.993919418718024,737.8107790509182,0.0012000370285347734,0.9520160351145278
25,crutch,bo,40.0,60.0,54.19089585183832,12.0,4.736615233295216,734.0253366200212,0.002632510457948217,0.949616018104439
26,crutch,bo,36.06914761381575,60.0,40.0,11.836705475444196,3.0,726.0526870107827,0.0018452579268130045,0.9675317035198843
27,crutch,bo,40.0,61.82465286322164,40.0,11.381942918666605,3.0,712.7480934914161,0.0019685401484520948,0.9890142702622395
28,crutch,bo,40.0,60.0,57.38678926581334,10.24230266793517,3.9560602915446887,736.7232905723374,0.0021148347132864138,0.9636056369300307
29,crutch,bo,33.84651352189324,60.0,80.0,12.0,5.5,737.6179199289986,0.0017001306436001582,0.9473119977003278
30,crutch,bo,40.0,61.90780281439655,54.12555659619932,12.0,3.0,711.474532774958,0.001954003539785216,0.9862228043588996
31,crutch,bo,25.0,110.0,40.0,12.0,3.0,736.5870657312868,0.0004904296970390605,0.9260808080542904
32,crutch,bo,39.23399473626775,60.0,40.0,7.059564150392362,3.815660856472708,736.4431948192604,0.0012118720708938911,0.9829145378975904
33,crutch,bo,38.59129111766538,60.0,80.0,12.0,3.9445176374325017,730.1556693598532,0.0024300985750930993,0.9573559386398739
34,crutch,bo,39.55228960148601,60.0,80.0,11.738422674049598,3.0,711.8075215197994,0.0020922174195894755,0.9889509397109497
35,crutch,bo,39.167435171487746,60.0,40.0,11.423914739146134,3.0,713.104517524904,0.0020729571922263983,0.9891669475106205
36,crutch,bo,37.03951911100196,60.0,40.0,6.110036268911534,3.6480495729439446,736.3121379215414,0.0009003111842398576,0.9873687417444644
37,crutch,bo,37.91667757743658,60.0,40.0,6.0,4.097499264998402,736.3358645136466,0.000834832300229445,0.9873931722831484
38,crutch,bo,38.450021641433004,64.29802999132187,40.0,6.0,3.7566723720698816,736.3254734109996,0.0007638187995061877,0.9872773956276629
39,crutch,bo,40.0,60.0,64.44341988868936,12.0,3.233627830957453,708.4163096000124,0.0022406947797747124,0.990737672606704
40,crutch,bo,38.11738732850595,60.438556513582846,80.0,6.0,3.8252830720049382,736.3122126459939,0.0008751578867725528,0.9875516722781112
41,crutch,bo,25.185885105725824,67.21978628375841,40.0,8.277080847961908,3.0,736.9683071558384,0.0005213035111437746,0.977257469972045
42,crutch,bo,30.40739789480173,60.0,80.0,12.0,3.0,736.9796604133064,0.0014190644820559456,0.9544103278367105
